month,level_1,value
1961-01,All Items,24.665
1961-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-01,All Items Less Accommodation,na
1961-01,MAS Core Inflation Measure,na
1961-02,All Items,24.689
1961-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-02,All Items Less Accommodation,na
1961-02,MAS Core Inflation Measure,na
1961-03,All Items,24.709
1961-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-03,All Items Less Accommodation,na
1961-03,MAS Core Inflation Measure,na
1961-04,All Items,24.309
1961-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-04,All Items Less Accommodation,na
1961-04,MAS Core Inflation Measure,na
1961-05,All Items,24.174
1961-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-05,All Items Less Accommodation,na
1961-05,MAS Core Inflation Measure,na
1961-06,All Items,24.345
1961-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-06,All Items Less Accommodation,na
1961-06,MAS Core Inflation Measure,na
1961-07,All Items,24.398
1961-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-07,All Items Less Accommodation,na
1961-07,MAS Core Inflation Measure,na
1961-08,All Items,24.64
1961-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-08,All Items Less Accommodation,na
1961-08,MAS Core Inflation Measure,na
1961-09,All Items,24.516
1961-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-09,All Items Less Accommodation,na
1961-09,MAS Core Inflation Measure,na
1961-10,All Items,24.586
1961-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-10,All Items Less Accommodation,na
1961-10,MAS Core Inflation Measure,na
1961-11,All Items,24.645
1961-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-11,All Items Less Accommodation,na
1961-11,MAS Core Inflation Measure,na
1961-12,All Items,24.61
1961-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-12,All Items Less Accommodation,na
1961-12,MAS Core Inflation Measure,na
1962-01,All Items,24.766
1962-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-01,All Items Less Accommodation,na
1962-01,MAS Core Inflation Measure,na
1962-02,All Items,24.904
1962-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-02,All Items Less Accommodation,na
1962-02,MAS Core Inflation Measure,na
1962-03,All Items,24.548
1962-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-03,All Items Less Accommodation,na
1962-03,MAS Core Inflation Measure,na
1962-04,All Items,24.425
1962-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-04,All Items Less Accommodation,na
1962-04,MAS Core Inflation Measure,na
1962-05,All Items,24.449
1962-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-05,All Items Less Accommodation,na
1962-05,MAS Core Inflation Measure,na
1962-06,All Items,24.565
1962-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-06,All Items Less Accommodation,na
1962-06,MAS Core Inflation Measure,na
1962-07,All Items,24.623
1962-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-07,All Items Less Accommodation,na
1962-07,MAS Core Inflation Measure,na
1962-08,All Items,24.546
1962-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-08,All Items Less Accommodation,na
1962-08,MAS Core Inflation Measure,na
1962-09,All Items,24.647
1962-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-09,All Items Less Accommodation,na
1962-09,MAS Core Inflation Measure,na
1962-10,All Items,24.592
1962-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-10,All Items Less Accommodation,na
1962-10,MAS Core Inflation Measure,na
1962-11,All Items,24.751
1962-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-11,All Items Less Accommodation,na
1962-11,MAS Core Inflation Measure,na
1962-12,All Items,24.821
1962-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-12,All Items Less Accommodation,na
1962-12,MAS Core Inflation Measure,na
1963-01,All Items,25.297
1963-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-01,All Items Less Accommodation,na
1963-01,MAS Core Inflation Measure,na
1963-02,All Items,25.482
1963-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-02,All Items Less Accommodation,na
1963-02,MAS Core Inflation Measure,na
1963-03,All Items,25.004
1963-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-03,All Items Less Accommodation,na
1963-03,MAS Core Inflation Measure,na
1963-04,All Items,24.754
1963-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-04,All Items Less Accommodation,na
1963-04,MAS Core Inflation Measure,na
1963-05,All Items,24.88
1963-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-05,All Items Less Accommodation,na
1963-05,MAS Core Inflation Measure,na
1963-06,All Items,24.957
1963-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-06,All Items Less Accommodation,na
1963-06,MAS Core Inflation Measure,na
1963-07,All Items,24.888
1963-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-07,All Items Less Accommodation,na
1963-07,MAS Core Inflation Measure,na
1963-08,All Items,24.95
1963-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-08,All Items Less Accommodation,na
1963-08,MAS Core Inflation Measure,na
1963-09,All Items,25.06
1963-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-09,All Items Less Accommodation,na
1963-09,MAS Core Inflation Measure,na
1963-10,All Items,25.654
1963-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-10,All Items Less Accommodation,na
1963-10,MAS Core Inflation Measure,na
1963-11,All Items,25.467
1963-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-11,All Items Less Accommodation,na
1963-11,MAS Core Inflation Measure,na
1963-12,All Items,25.514
1963-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-12,All Items Less Accommodation,na
1963-12,MAS Core Inflation Measure,na
1964-01,All Items,25.67
1964-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-01,All Items Less Accommodation,na
1964-01,MAS Core Inflation Measure,na
1964-02,All Items,25.766
1964-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-02,All Items Less Accommodation,na
1964-02,MAS Core Inflation Measure,na
1964-03,All Items,25.673
1964-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-03,All Items Less Accommodation,na
1964-03,MAS Core Inflation Measure,na
1964-04,All Items,25.336
1964-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-04,All Items Less Accommodation,na
1964-04,MAS Core Inflation Measure,na
1964-05,All Items,25.34
1964-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-05,All Items Less Accommodation,na
1964-05,MAS Core Inflation Measure,na
1964-06,All Items,25.263
1964-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-06,All Items Less Accommodation,na
1964-06,MAS Core Inflation Measure,na
1964-07,All Items,25.384
1964-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-07,All Items Less Accommodation,na
1964-07,MAS Core Inflation Measure,na
1964-08,All Items,25.803
1964-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-08,All Items Less Accommodation,na
1964-08,MAS Core Inflation Measure,na
1964-09,All Items,25.734
1964-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-09,All Items Less Accommodation,na
1964-09,MAS Core Inflation Measure,na
1964-10,All Items,25.572
1964-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-10,All Items Less Accommodation,na
1964-10,MAS Core Inflation Measure,na
1964-11,All Items,25.557
1964-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-11,All Items Less Accommodation,na
1964-11,MAS Core Inflation Measure,na
1964-12,All Items,25.809
1964-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-12,All Items Less Accommodation,na
1964-12,MAS Core Inflation Measure,na
1965-01,All Items,25.871
1965-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-01,All Items Less Accommodation,na
1965-01,MAS Core Inflation Measure,na
1965-02,All Items,25.79
1965-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-02,All Items Less Accommodation,na
1965-02,MAS Core Inflation Measure,na
1965-03,All Items,25.619
1965-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-03,All Items Less Accommodation,na
1965-03,MAS Core Inflation Measure,na
1965-04,All Items,25.248
1965-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-04,All Items Less Accommodation,na
1965-04,MAS Core Inflation Measure,na
1965-05,All Items,25.447
1965-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-05,All Items Less Accommodation,na
1965-05,MAS Core Inflation Measure,na
1965-06,All Items,25.54
1965-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-06,All Items Less Accommodation,na
1965-06,MAS Core Inflation Measure,na
1965-07,All Items,25.383
1965-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-07,All Items Less Accommodation,na
1965-07,MAS Core Inflation Measure,na
1965-08,All Items,25.539
1965-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-08,All Items Less Accommodation,na
1965-08,MAS Core Inflation Measure,na
1965-09,All Items,25.622
1965-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-09,All Items Less Accommodation,na
1965-09,MAS Core Inflation Measure,na
1965-10,All Items,25.693
1965-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-10,All Items Less Accommodation,na
1965-10,MAS Core Inflation Measure,na
1965-11,All Items,25.876
1965-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-11,All Items Less Accommodation,na
1965-11,MAS Core Inflation Measure,na
1965-12,All Items,26.067
1965-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-12,All Items Less Accommodation,na
1965-12,MAS Core Inflation Measure,na
1966-01,All Items,26.383
1966-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-01,All Items Less Accommodation,na
1966-01,MAS Core Inflation Measure,na
1966-02,All Items,26.14
1966-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-02,All Items Less Accommodation,na
1966-02,MAS Core Inflation Measure,na
1966-03,All Items,25.932
1966-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-03,All Items Less Accommodation,na
1966-03,MAS Core Inflation Measure,na
1966-04,All Items,26.032
1966-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-04,All Items Less Accommodation,na
1966-04,MAS Core Inflation Measure,na
1966-05,All Items,25.979
1966-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-05,All Items Less Accommodation,na
1966-05,MAS Core Inflation Measure,na
1966-06,All Items,26.054
1966-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-06,All Items Less Accommodation,na
1966-06,MAS Core Inflation Measure,na
1966-07,All Items,26.149
1966-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-07,All Items Less Accommodation,na
1966-07,MAS Core Inflation Measure,na
1966-08,All Items,26.331
1966-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-08,All Items Less Accommodation,na
1966-08,MAS Core Inflation Measure,na
1966-09,All Items,26.173
1966-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-09,All Items Less Accommodation,na
1966-09,MAS Core Inflation Measure,na
1966-10,All Items,26.016
1966-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-10,All Items Less Accommodation,na
1966-10,MAS Core Inflation Measure,na
1966-11,All Items,26.277
1966-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-11,All Items Less Accommodation,na
1966-11,MAS Core Inflation Measure,na
1966-12,All Items,26.438
1966-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-12,All Items Less Accommodation,na
1966-12,MAS Core Inflation Measure,na
1967-01,All Items,26.839
1967-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-01,All Items Less Accommodation,na
1967-01,MAS Core Inflation Measure,na
1967-02,All Items,26.854
1967-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-02,All Items Less Accommodation,na
1967-02,MAS Core Inflation Measure,na
1967-03,All Items,26.717
1967-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-03,All Items Less Accommodation,na
1967-03,MAS Core Inflation Measure,na
1967-04,All Items,26.303
1967-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-04,All Items Less Accommodation,na
1967-04,MAS Core Inflation Measure,na
1967-05,All Items,26.539
1967-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-05,All Items Less Accommodation,na
1967-05,MAS Core Inflation Measure,na
1967-06,All Items,26.845
1967-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-06,All Items Less Accommodation,na
1967-06,MAS Core Inflation Measure,na
1967-07,All Items,27.216
1967-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-07,All Items Less Accommodation,na
1967-07,MAS Core Inflation Measure,na
1967-08,All Items,27.103
1967-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-08,All Items Less Accommodation,na
1967-08,MAS Core Inflation Measure,na
1967-09,All Items,27.312
1967-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-09,All Items Less Accommodation,na
1967-09,MAS Core Inflation Measure,na
1967-10,All Items,27.212
1967-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-10,All Items Less Accommodation,na
1967-10,MAS Core Inflation Measure,na
1967-11,All Items,27.466
1967-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-11,All Items Less Accommodation,na
1967-11,MAS Core Inflation Measure,na
1967-12,All Items,27.708
1967-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-12,All Items Less Accommodation,na
1967-12,MAS Core Inflation Measure,na
1968-01,All Items,27.727
1968-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-01,All Items Less Accommodation,na
1968-01,MAS Core Inflation Measure,na
1968-02,All Items,27.418
1968-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-02,All Items Less Accommodation,na
1968-02,MAS Core Inflation Measure,na
1968-03,All Items,27.32
1968-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-03,All Items Less Accommodation,na
1968-03,MAS Core Inflation Measure,na
1968-04,All Items,27.257
1968-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-04,All Items Less Accommodation,na
1968-04,MAS Core Inflation Measure,na
1968-05,All Items,26.967
1968-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-05,All Items Less Accommodation,na
1968-05,MAS Core Inflation Measure,na
1968-06,All Items,26.967
1968-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-06,All Items Less Accommodation,na
1968-06,MAS Core Inflation Measure,na
1968-07,All Items,27.104
1968-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-07,All Items Less Accommodation,na
1968-07,MAS Core Inflation Measure,na
1968-08,All Items,27.316
1968-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-08,All Items Less Accommodation,na
1968-08,MAS Core Inflation Measure,na
1968-09,All Items,27.155
1968-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-09,All Items Less Accommodation,na
1968-09,MAS Core Inflation Measure,na
1968-10,All Items,27.108
1968-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-10,All Items Less Accommodation,na
1968-10,MAS Core Inflation Measure,na
1968-11,All Items,27.038
1968-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-11,All Items Less Accommodation,na
1968-11,MAS Core Inflation Measure,na
1968-12,All Items,26.952
1968-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-12,All Items Less Accommodation,na
1968-12,MAS Core Inflation Measure,na
1969-01,All Items,26.978
1969-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-01,All Items Less Accommodation,na
1969-01,MAS Core Inflation Measure,na
1969-02,All Items,26.928
1969-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-02,All Items Less Accommodation,na
1969-02,MAS Core Inflation Measure,na
1969-03,All Items,27.072
1969-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-03,All Items Less Accommodation,na
1969-03,MAS Core Inflation Measure,na
1969-04,All Items,26.974
1969-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-04,All Items Less Accommodation,na
1969-04,MAS Core Inflation Measure,na
1969-05,All Items,27.236
1969-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-05,All Items Less Accommodation,na
1969-05,MAS Core Inflation Measure,na
1969-06,All Items,27.098
1969-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-06,All Items Less Accommodation,na
1969-06,MAS Core Inflation Measure,na
1969-07,All Items,27.019
1969-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-07,All Items Less Accommodation,na
1969-07,MAS Core Inflation Measure,na
1969-08,All Items,27.146
1969-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-08,All Items Less Accommodation,na
1969-08,MAS Core Inflation Measure,na
1969-09,All Items,27.176
1969-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-09,All Items Less Accommodation,na
1969-09,MAS Core Inflation Measure,na
1969-10,All Items,26.982
1969-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-10,All Items Less Accommodation,na
1969-10,MAS Core Inflation Measure,na
1969-11,All Items,27.255
1969-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-11,All Items Less Accommodation,na
1969-11,MAS Core Inflation Measure,na
1969-12,All Items,27.634
1969-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-12,All Items Less Accommodation,na
1969-12,MAS Core Inflation Measure,na
1970-01,All Items,27.24
1970-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-01,All Items Less Accommodation,na
1970-01,MAS Core Inflation Measure,na
1970-02,All Items,27.361
1970-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-02,All Items Less Accommodation,na
1970-02,MAS Core Inflation Measure,na
1970-03,All Items,27.024
1970-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-03,All Items Less Accommodation,na
1970-03,MAS Core Inflation Measure,na
1970-04,All Items,27.067
1970-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-04,All Items Less Accommodation,na
1970-04,MAS Core Inflation Measure,na
1970-05,All Items,27.085
1970-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-05,All Items Less Accommodation,na
1970-05,MAS Core Inflation Measure,na
1970-06,All Items,27.05
1970-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-06,All Items Less Accommodation,na
1970-06,MAS Core Inflation Measure,na
1970-07,All Items,27.318
1970-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-07,All Items Less Accommodation,na
1970-07,MAS Core Inflation Measure,na
1970-08,All Items,27.296
1970-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-08,All Items Less Accommodation,na
1970-08,MAS Core Inflation Measure,na
1970-09,All Items,27.25
1970-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-09,All Items Less Accommodation,na
1970-09,MAS Core Inflation Measure,na
1970-10,All Items,27.279
1970-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-10,All Items Less Accommodation,na
1970-10,MAS Core Inflation Measure,na
1970-11,All Items,27.217
1970-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-11,All Items Less Accommodation,na
1970-11,MAS Core Inflation Measure,na
1970-12,All Items,27.4
1970-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-12,All Items Less Accommodation,na
1970-12,MAS Core Inflation Measure,na
1971-01,All Items,28.21
1971-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-01,All Items Less Accommodation,na
1971-01,MAS Core Inflation Measure,na
1971-02,All Items,27.712
1971-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-02,All Items Less Accommodation,na
1971-02,MAS Core Inflation Measure,na
1971-03,All Items,27.582
1971-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-03,All Items Less Accommodation,na
1971-03,MAS Core Inflation Measure,na
1971-04,All Items,27.253
1971-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-04,All Items Less Accommodation,na
1971-04,MAS Core Inflation Measure,na
1971-05,All Items,27.543
1971-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-05,All Items Less Accommodation,na
1971-05,MAS Core Inflation Measure,na
1971-06,All Items,27.62
1971-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-06,All Items Less Accommodation,na
1971-06,MAS Core Inflation Measure,na
1971-07,All Items,27.763
1971-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-07,All Items Less Accommodation,na
1971-07,MAS Core Inflation Measure,na
1971-08,All Items,27.628
1971-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-08,All Items Less Accommodation,na
1971-08,MAS Core Inflation Measure,na
1971-09,All Items,27.84
1971-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-09,All Items Less Accommodation,na
1971-09,MAS Core Inflation Measure,na
1971-10,All Items,27.675
