,address,latitude,longitude
0,"2, Adam Road, Singapore 289876",1.32413197,103.8141632
1,"Blk 453A, Ang Mo Kio Ave 10, Singapore 561453",1.3682999599999999,103.8564377
2,"Blk 221A/B, Boon Lay Place, Singapore 641221/642221",1.34528005,103.7128525
3,"Blk 353, Clementi Ave 2, Singapore 120353",1.31433797,103.7707748
4,"Blk 448, Clementi Ave 3, Singapore 120448",1.31334996,103.7645874
5,"Blk 7, Empress Road, Singapore 260007",1.31631005,103.805687
6,"Blk 159, Mei Chin Road, Singapore 140159",1.29330003,103.8029633
7,"Blk 630, Bedok Reservoir Road, Singapore 470630",1.33298004,103.9142075
8,"Blk 335, Smith Street, Singapore 050335",1.2823,103.8428802
9,"271, Onan Road, Singapore 424768",1.309412,103.901825
10,"1220, East Coast Parkway, Singapore 468960",1.30772996,103.9343033
11,"Blk 4A, Eunos Crescent, Singapore 402004",1.320292,103.9042206
12,"Blk 69, Geylang Bahru, Singapore 330069",1.32152998,103.8700714
13,"Blk 20, Ghim Moh Road, Singapore 270020",1.31105995,103.7882919
14,"505, Beach Road, Singapore 199583",1.30287397,103.8638763
15,"Blk 13/14, Haig Road, Singapore 430013/430014",1.31518996,103.8956528
16,"Blk 22A/B, Havelock Road, Singapore 161022/162022",1.28804004,103.829689
17,"Blk 117, Aljunied Ave 2, Singapore 380117",1.32070994,103.8870926
18,"5, Cross Street, Singapore 048148",1.28156793,103.8488473
19,"Blk 20/21, Marsiling Lane, Singapore 730020/730021",1.44398999,103.7772598
20,"Blk 4,Woodlands St 12,Singapore 738623",1.433543,103.779881
21,"1, Kadayanallur Street, Singapore 069184",1.28055096,103.8444595
22,"Blk 32, New Market Road, Singapore 050032",1.28487098,103.8425903
23,"Blk 208B, New Upper Changi Road, Singapore 462208",1.3246289999999998,103.930477
24,"Blk 58, New Upper Changi Road, Singapore 461058",1.32516551,103.940155
25,"500, Clemenceau Ave North, Singapore 229495",1.3122249799999999,103.8397293
26,"861, North Bridge Road, Singapore 198783",1.3058470500000001,103.8638611
27,"Blk 51, Old Airport Road, Singapore 390051",1.30827999,103.8858414
28,"Blk 51, Tampines Ave 4, Singapore 529684",1.352983,103.940231
29,"121, Pasir Panjang Road, Singapore 118543",1.27565897,103.7915573
30,"Blk 110, Pasir Ris Central, Singapore 519641",1.373318,103.951364
31,"Blk 270, Queen Street, Singapore 180270",1.30112004,103.8541412
32,"Blk 85, Redhill Lane, Singapore 150085",1.28740001,103.8183975
33,"590, Upper Thomson Road, Singapore 574419",1.37241995,103.8290329
34,"49A, Serangoon Garden Way, Singapore 555945",1.3635400500000001,103.8669815
35,"Blk 320, Shunfu Road, Singapore 570320",1.35181999,103.8370285
36,"National Development Building, Annex B, Telok Ayer Street, Singapore 069111",Existing,1
37,"Blk 226D, Ang Mo Kio Ave 1, Singapore 564226",1.36695004,103.8391876
38,"Blk 341, Ang Mo Kio Ave 1, Singapore 560341",1.36416996,103.84832
39,"Blk 409, Ang Mo Kio Ave 10, Singapore 560409",1.36273003,103.8553772
40,"Blk 527, Ang Mo Kio Ave 10, Singapore 560527",1.37270999,103.8544464
41,"Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162",1.37460005,103.839241
42,"Blk 628, Ang Mo Kio Ave 4, Singapore 560628",1.38066268,103.8407516
43,"Blk 676, Woodlands Drive 71, Singapore 730676",1.440119,103.800735
44,"Blk 84, Marine Parade Central, Singapore 440084",1.30233002,103.9063873
45,"Blk 50A, Marine Terrace, Singapore 441050",1.30580998,103.9157867
46,"Blk 79/79A, Circuit Road, Singapore 370079/371079",1.32666004,103.8851166
47,"Blk 80, Circuit Road, Singapore 370080",1.32790005,103.8871536
48,"Blk 89, Circuit Road, Singapore 370089",1.32363999,103.8855209
49,"Blk 726, Clementi West Street 2, Singapore 120726",1.30391705,103.7641754
50,"31, Commonwealth Crescent, Singapore 149644",1.30743206,103.7994614
51,"Blk 1A/ 2A/ 3A, Commonwealth Drive, Singapore 140001/140002/140003",1.29955006,103.7980194
52,"Blk 6, Jalan Bukit Merah, Singapore 150006",1.28700995,103.8081894
53,"Blk 1, Jalan Kukoh, Singapore 161001",1.28831995,103.8399963
54,"Blk 347, Jurong East Ave 1, Singapore 600347",1.34536004,103.7315826
55,"Blk 254, Jurong East Street 24, Singapore 600254",1.34343302,103.7376862
56,"Blk 50, Jurong West St 61, Singapore 648202",1.3412229999999998,103.697374
57,"Blk 505, Jurong West Street 52, Singapore 640505",1.34969997,103.7184601
58,"17, Old Airport Road, Singapore 397972",1.30711246,103.8841476
59,"166, Jalan Besar, Singapore 208877",1.30733502,103.8568497
60,"Blk 665, Buffalo Road, Singapore 210665",1.30619001,103.8506699
61,"Blk 163, Bukit Merah Central, Singapore 150163",1.28374004,103.8171082
62,"Blk 120, Bukit Merah Lane, Singapore 150120",1.28636003,103.8045502
63,"Blk 115, Bukit Merah View, Singapore 151115",1.28524005,103.8223724
64,"2 Bukit Panjang Ring Road, Singapore 679947",1.378269,103.772432
65,"51 Hougang Avenue 9, Singapore 538776",1.3749377,103.8829472
66,"Blk 37A, Teban Garden Road, Singapore 601037",1.3205173000000001,103.7420807
67,"Blk 11, Telok Blangah Crescent, Singapore 090011",1.27743995,103.8187332
68,"Blk 79, Telok Blangah Drive, Singapore 100079",1.27342999,103.8076782
69,"Blk 82, Telok Blangah Drive, Singapore 100082",1.27398002,103.8079987
70,"Blk 36, Telok Blangah Rise, Singapore 090036",1.27266002,103.8221283
71,"30, Seng Poh Road, Singapore 168898",1.28468299,103.832428
72,"Blk 127, Lorong 1 Toa Payoh, Singapore 310127",1.33816004,103.8447876
73,"Blk 74, Lorong 4 Toa Payoh, Singapore 310074",1.33462,103.8520584
74,"51, Upper Bukit Timah Road, Singapore 588215",1.33964503,103.7758026
75,"Blk 41A, Cambridge Road, Singapore 211041",1.3162000200000001,103.8503036
76,"Blk 724, Ang Mo Kio Ave 6, Singapore 560724",1.37204003,103.8464966
77,"Blk 226H, Ang Mo Kio Street 22, Singapore 568226",1.36726606,103.8399429
78,"1, Bedok Road, Singapore 469572",1.32035303,103.9554749
79,"Blk 216, Bedok North Street 1, Singapore 460216",1.32711995,103.9332962
80,"Blk 511, Bedok North Street 3, Singapore 460511",1.33331001,103.930687
81,"Blk 538, Bedok North Street 3, Singapore 460538",1.3321000299999999,103.9247208
82,"Blk 49, Sims Place, Singapore 380049",1.31710005,103.8793793
83,"3, Yung Sheng Road, Singapore 618499",1.33468103,103.7216187
84,"Blk 137, Tampines Street 11, Singapore 521137",1.34559596,103.9445953
85,"48A, Tanglin Halt Road, Singapore 148813",1.3008500299999999,103.7976837
86,"Blk 6, Tanjong Pagar Plaza, Singapore 081006",1.2766799899999999,103.8432312
87,"Blk 85, Bedok North Street 4, Singapore 460085",1.33205998,103.9388123
88,"Blk 16, Bedok South Road, Singapore 460016",1.32055998,103.9355469
89,"Blk 29, Bendemeer Road, Singapore 330029",1.31928003,103.8630905
90,"38A, Beo Crescent, Singapore 169982",1.28848803,103.8272476
91,"Blk 2/3, Changi Village Road, Singapore 500002/500003",1.38971996,103.9881821
92,"20, Kensington Park Road, Singapore 557269",1.36422801,103.8665314
93,"Blk 93, Lorong 4 Toa Payoh, Singapore 310093",1.33853996,103.8495712
94,"Blk 75, Lorong 5 Toa Payoh, Singapore 310075",1.33609998,103.8529968
95,"Blk 22, Lorong 7 Toa Payoh, Singapore 310022",1.3352899599999999,103.8570633
96,"Blk 210, Lorong 8 Toa Payoh, Singapore 310210",1.34033001,103.8544617
97,"Blk 17, Upper Boon Keng Road, Singapore 380017",1.31508994,103.8716812
98,"Blk 531A, Upper Cross Street, Singapore 051531",1.28446996,103.8458633
99,"Blk 502, West Coast Drive, Singapore 120502",1.3119599800000001,103.7591019
100,"Blk 503, West Coast Drive, Singapore 120503",1.31186998,103.7598038
101,"Blk 90, Whampoa Drive, Singapore 320090",1.32314003,103.8550415
102,"Blk 91/92, Whampoa Drive, Singapore 320091/320092",1.32349002,103.8541336
103,"Blk 51, Yishun Avenue 11, Singapore 768867",1.424911,103.844992
104,"Blk 104/105, Yishun Ring Road, Singapore 760104/760105",1.43165803,103.8280716
105,"70, Zion Road, Singapore 247792",1.29234004,103.8311844
106,"Blk 79, Redhill Lane, Singapore 150079",1.28790999,103.8183975
107,"Blk 44, Holland Drive, Singapore 270044",1.30818999,103.7928391
108,"1, Lorong Mambong, Singapore 277700",1.31110203,103.7949448
109,"Blk 105, Hougang Ave 1, Singapore 530105",1.35408998,103.890213
110,"Blk 4A, Jalan Batu, Singapore 432004",1.30243003,103.8839798
111,"Blk 112, Jalan Bukit Merah, Singapore 160112",1.2800699500000001,103.8260727
