,full_address,latitude,longitude
0,174 ANG MO KIO AVE 4 Singapore,1.3752431,103.8374311
1,541 ANG MO KIO AVE 10 Singapore,1.373289,103.8560821
2,163 ANG MO KIO AVE 4 Singapore,1.3739926,103.8382463
3,446 ANG MO KIO AVE 10 Singapore,1.3678117,103.8551856
4,557 ANG MO KIO AVE 10 Singapore,1.3716063,103.8577221
5,603 ANG MO KIO AVE 5 Singapore,1.380163,103.8357101
6,709 ANG MO KIO AVE 8 Singapore,1.3711528,103.8476668
7,333 ANG MO KIO AVE 1 Singapore,1.3613131,103.8516526
8,109 ANG MO KIO AVE 4 Singapore,1.3701494,103.8376575
9,564 ANG MO KIO AVE 3 Singapore,1.3697651,103.8593528
10,218 ANG MO KIO AVE 1 Singapore,1.3651811,103.8415977
11,556 ANG MO KIO AVE 10 Singapore,1.3720459,103.8577221
12,156 ANG MO KIO AVE 4 Singapore,1.3755222,103.8397861
13,471 ANG MO KIO AVE 10 Singapore,1.3634808,103.8567256
14,434 ANG MO KIO AVE 10 Singapore,1.3679694,103.8532832
15,560 ANG MO KIO AVE 10 Singapore,1.3707919,103.8591716
16,332 ANG MO KIO AVE 1 Singapore,1.3616045,103.8519244
17,421 ANG MO KIO AVE 10 Singapore,1.3653349,103.8528303
18,506 ANG MO KIO AVE 8 Singapore,1.3743701,103.8487538
19,631 ANG MO KIO AVE 4 Singapore,1.3795379,103.8408084
20,153 ANG MO KIO AVE 5 Singapore,1.3763871,103.8422318
21,442 ANG MO KIO AVE 10 Singapore,1.3656873,103.8551856
22,558 ANG MO KIO AVE 10 Singapore,1.3712314,103.8591716
23,212 ANG MO KIO AVE 3 Singapore,1.3688441,103.8415977
24,152 ANG MO KIO AVE 5 Singapore,1.376693,103.8400579
25,331 ANG MO KIO AVE 1 Singapore,1.3619223,103.8508147
26,121 ANG MO KIO AVE 3 Singapore,1.3697115,103.8435905
27,130 ANG MO KIO AVE 3 Singapore,1.3703816,103.8417789
28,646 ANG MO KIO AVE 6 Singapore,1.3794551,103.8438623
29,424 ANG MO KIO AVE 3 Singapore,1.3686437,103.8507467
30,584 ANG MO KIO AVE 3 Singapore,1.3707241,103.8533979
31,412 ANG MO KIO AVE 10 Singapore,1.3639288,103.8552762
32,612 ANG MO KIO AVE 4 Singapore,1.3789699,103.8380499
33,562 ANG MO KIO AVE 3 Singapore,1.3701881,103.8590584
34,223 ANG MO KIO AVE 1 Singapore,1.3660809,103.8380651
35,150 ANG MO KIO AVE 5 Singapore,1.3767561,103.8417789
36,468 ANG MO KIO AVE 10 Singapore,1.3648757,103.8561821
37,177 ANG MO KIO AVE 4 Singapore,1.3758705,103.8380731
38,415 ANG MO KIO AVE 10 Singapore,1.3645244,103.8536456
39,254 ANG MO KIO AVE 4 Singapore,1.3703801,103.8345568
40,207 ANG MO KIO AVE 1 Singapore,1.3659321,103.8429318
41,432 ANG MO KIO AVE 10 Singapore,1.3683341,103.853555
42,117 ANG MO KIO AVE 4 Singapore,1.3736407,103.8358007
43,428 ANG MO KIO AVE 3 Singapore,1.3689887,103.8543703
44,573 ANG MO KIO AVE 3 Singapore,1.3705763,103.8548392
45,418 ANG MO KIO AVE 10 Singapore,1.365035,103.8540079
46,324 ANG MO KIO AVE 3 Singapore,1.3683188,103.8468289
47,596B ANG MO KIO ST 52 Singapore,1.3720881,103.8505656
48,234 ANG MO KIO AVE 3 Singapore,1.3671883,103.8366159
49,648 ANG MO KIO AVE 5 Singapore,1.3782826,103.8438623
50,253A ANG MO KIO ST 21 Singapore,1.37006,103.8341703
51,439 ANG MO KIO AVE 10 Singapore,1.3663578,103.8532832
52,306 ANG MO KIO AVE 1 Singapore,1.3658159,103.8457645
53,729 ANG MO KIO AVE 6 Singapore,1.3738738,103.8459457
54,315B ANG MO KIO ST 31 Singapore,1.364145,103.847474
55,700C ANG MO KIO AVE 6 Singapore,1.3696212,103.8464892
56,620 BEDOK RESERVOIR RD Singapore,1.3339841,103.9182508
57,38 BEDOK STH RD Singapore,1.3209903,103.9386445
58,504 BEDOK NTH ST 3 Singapore,1.3318724,103.9323222
59,545 BEDOK NTH ST 3 Singapore,1.3301452,103.924142
60,546 BEDOK NTH ST 3 Singapore,1.330869,103.9255016
61,18 BEDOK STH RD Singapore,1.3205006,103.9347468
62,550 BEDOK NTH AVE 1 Singapore,1.3325467,103.926408
63,502 BEDOK NTH ST 3 Singapore,1.331641,103.9312118
64,509 BEDOK NTH ST 3 Singapore,1.3339204,103.9310499
65,525 BEDOK NTH ST 3 Singapore,1.3347268,103.9290365
66,534 BEDOK NTH ST 3 Singapore,1.333142,103.9246859
67,542 BEDOK NTH ST 3 Singapore,1.3307383,103.9227825
68,76 BEDOK NTH RD Singapore,1.3283586,103.9421798
69,709 BEDOK RESERVOIR RD Singapore,1.3353499,103.9225106
70,703 BEDOK RESERVOIR RD Singapore,1.3371946,103.9198822
71,27 NEW UPP CHANGI RD Singapore,1.3241571,103.9349281
72,42 CHAI CHEE ST Singapore,1.3279408,103.9257735
73,426 BEDOK NTH RD Singapore,1.329789,103.9288099
74,530 BEDOK NTH ST 3 Singapore,1.3337144,103.9269518
75,420 BEDOK NTH ST 1 Singapore,1.3277041,103.9287646
76,105 BEDOK NTH AVE 4 Singapore,1.3336952,103.936605
77,519 BEDOK NTH AVE 1 Singapore,1.3308544,103.9280394
78,548 BEDOK NTH AVE 1 Singapore,1.3313002,103.9268611
79,537 BEDOK NTH ST 3 Singapore,1.3320819,103.9240161
80,28 NEW UPP CHANGI RD Singapore,1.3237366,103.9349055
81,100 BEDOK NTH AVE 4 Singapore,1.334268,103.9387805
82,103 BEDOK RESERVOIR RD Singapore,1.3287662,103.9094598
83,522 BEDOK NTH AVE 1 Singapore,1.3306412,103.9269518
84,551 BEDOK NTH AVE 1 Singapore,1.3323236,103.9270424
85,608 BEDOK RESERVOIR RD Singapore,1.3318917,103.9130849
86,135 BEDOK NTH ST 2 Singapore,1.3286841,103.9364691
87,40 CHAI CHEE AVE Singapore,1.3261076,103.9264986
88,57 NEW UPP CHANGI RD Singapore,1.3241187,103.9416359
89,401 BEDOK NTH AVE 3 Singapore,1.3309326,103.9335232
90,2 BEDOK STH AVE 1 Singapore,1.3213135,103.9332966
91,116 BEDOK NTH RD Singapore,1.3309428,103.9381007
92,419 BEDOK NTH ST 1 Singapore,1.326903,103.9281301
93,107 BEDOK NTH RD Singapore,1.3324161,103.9363784
94,221B BEDOK CTRL Singapore,1.325015,103.934526
95,219A BEDOK CTRL Singapore,1.3254425,103.9331789
96,512 BEDOK NTH AVE 2 Singapore,1.3333359,103.9291271
97,131 BEDOK RESERVOIR RD Singapore,1.3331446,103.9115443
98,147 BEDOK RESERVOIR RD Singapore,1.3349004,103.9116349
99,117 BEDOK NTH RD Singapore,1.3306475,103.9385539
100,82 BEDOK NTH RD Singapore,1.3295396,103.9403668
101,121 BEDOK NTH RD Singapore,1.3296222,103.9387352
