,stn_code,mrt_station_english,mrt_line_english,latitude,longitude
0,NS1,Jurong East MRT Station Singapore,North South Line,1.3331306,103.7420909
1,NS2,Bukit Batok MRT Station Singapore,North South Line,1.3485061,103.7492218
2,NS3,Bukit Gombak MRT Station Singapore,North South Line,1.3589147,103.7518308
3,NS4,Choa Chu Kang MRT Station Singapore,North South Line,1.3853846,103.7443373
4,NS5,Yew Tee MRT Station Singapore,North South Line,1.3973289,103.7475018
5,NS7,Kranji MRT Station Singapore,North South Line,1.4252268,103.7620278
6,NS8,Marsiling MRT Station Singapore,North South Line,1.4325578,103.7741607
7,NS9,Woodlands MRT Station Singapore,North South Line,1.4369416,103.7863953
8,NS10,Admiralty MRT Station Singapore,North South Line,1.440613,103.8009629
9,NS11,Sembawang MRT Station Singapore,North South Line,1.4490801,103.8200578
10,NS13,Yishun MRT Station Singapore,North South Line,1.4295484,103.8350332
11,NS14,Khatib MRT Station Singapore,North South Line,1.4173483,103.8329731
12,NS15,Yio Chu Kang MRT Station Singapore,North South Line,1.3817217,103.844934
13,NS16,Ang Mo Kio MRT Station Singapore,North South Line,1.3699718,103.8495876
14,NS17,Bishan MRT Station Singapore,North South Line,1.3510417,103.8499304
15,NS18,Braddell MRT Station Singapore,North South Line,1.3405397,103.8470762
16,NS19,Toa Payoh MRT Station Singapore,North South Line,1.3323297,103.8474252
17,NS20,Novena MRT Station Singapore,North South Line,1.3204553,103.8437867
18,NS21,Newton MRT Station Singapore,North South Line,1.3136071,103.837811
19,NS22,Orchard MRT Station Singapore,North South Line,1.3040084,103.831781
20,NS23,Somerset MRT Station Singapore,North South Line,1.3006433,103.8385237
21,NS24,Dhoby Ghaut MRT Station Singapore,North South Line,1.2994693,103.8454005
22,NS25,City Hall MRT Station Singapore,North South Line,1.293076,103.8520677
23,NS26,Raffles Place MRT Station Singapore,North South Line,1.2830173,103.8513365
24,NS27,Marina Bay MRT Station Singapore,North South Line,1.2765211,103.8547012
25,NS28,Marina South Pier MRT Station Singapore,North South Line,1.2714087,103.863631
26,EW1,Pasir Ris MRT Station Singapore,East West Line,1.3731912,103.9493534
27,EW2,Tampines MRT Station Singapore,East West Line,1.353223,103.9451712
28,EW3,Simei MRT Station Singapore,East West Line,1.3431974,103.9533771
29,EW4,Tanah Merah MRT Station Singapore,East West Line,1.3272444,103.9464897
30,EW5,Bedok MRT Station Singapore,East West Line,1.3240113,103.9301725
31,EW6,Kembangan MRT Station Singapore,East West Line,1.321004,103.9130221
32,EW7,Eunos MRT Station Singapore,East West Line,1.3197457,103.9028867
33,EW8,Paya Lebar MRT Station Singapore,East West Line,1.3181378,103.8929866
34,EW9,Aljunied MRT Station Singapore,East West Line,1.3164593,103.8830873
35,EW10,Kallang MRT Station Singapore,East West Line,1.3114784,103.8713507
36,EW11,Lavender MRT Station Singapore,East West Line,1.3078275,103.8633777
37,EW12,Bugis MRT Station Singapore,East West Line,1.3010989,103.8561152
38,EW13,City Hall MRT Station Singapore,East West Line,1.293076,103.8520677
39,EW14,Raffles Place MRT Station Singapore,East West Line,1.2830173,103.8513365
40,EW15,Tanjong Pagar MRT Station Singapore,East West Line,1.2763434,103.8467763
41,EW16,Outram Park MRT Station Singapore,East West Line,1.280214,103.8402559
42,EW17,Tiong Bahru MRT Station Singapore,East West Line,1.2864775,103.8269997
43,EW18,Redhill MRT Station Singapore,East West Line,1.2896276,103.8167623
44,EW19,Queenstown MRT Station Singapore,East West Line,1.2948352,103.8059016
45,EW20,Commonwealth MRT Station Singapore,East West Line,1.3023957,103.7983157
46,EW21,Buona Vista MRT Station Singapore,East West Line,1.3072578,103.7899857
47,EW22,Dover MRT Station Singapore,East West Line,1.3113761,103.7786986
48,EW23,Clementi MRT Station Singapore,East West Line,1.3151606,103.765206
49,EW24,Jurong East MRT Station Singapore,East West Line,1.3331306,103.7420909
50,EW25,Chinese Garden MRT Station Singapore,East West Line,1.3423961,103.7325764
51,EW26,Lakeside MRT Station Singapore,East West Line,1.344243,103.7207754
52,EW27,Boon Lay MRT Station Singapore,East West Line,1.3385559,103.7058277
53,EW28,Pioneer MRT Station Singapore,East West Line,1.3385559,103.7058277
54,EW29,Joo Koon MRT Station Singapore,East West Line,1.3277513,103.6783178
55,EW30,Gul Circle MRT Station Singapore,East West Line,1.3197555,103.6608303
56,EW31,Tuas Crescent MRT Station Singapore,East West Line,1.3210266,103.6490755
57,EW32,Tuas West Road MRT Station Singapore,East West Line,1.3300485,103.6396175
58,EW33,Tuas Link MRT Station Singapore,East West Line,1.3403171,103.6368663
59,CG1,Expo MRT Station Singapore,Changi Airport Branch Line,1.3344041,103.9614807
60,CG2,Changi Airport MRT Station Singapore,Changi Airport Branch Line,1.3576001,103.9884873
61,NE1,HarbourFront MRT Station Singapore,North East Line,1.2656038,103.8208568
62,NE3,Outram Park MRT Station Singapore,North East Line,1.280214,103.8402559
63,NE4,Chinatown MRT Station Singapore,North East Line,1.2847875,103.8439312
64,NE5,Clarke Quay MRT Station Singapore,North East Line,1.288477,103.846756
65,NE6,Dhoby Ghaut MRT Station Singapore,North East Line,1.2994693,103.8454005
66,NE7,Little India MRT Station Singapore,North East Line,1.3062896,103.8493919
67,NE8,Farrer Park MRT Station Singapore,North East Line,1.3126142,103.8548616
68,NE9,Boon Keng MRT Station Singapore,North East Line,1.3193315,103.8620193
69,NE10,Potong Pasir MRT Station Singapore,North East Line,1.3311575,103.8690734
70,NE11,Woodleigh MRT Station Singapore,North East Line,1.3391274,103.8707373
71,NE12,Serangoon MRT Station Singapore,North East Line,1.3497383,103.8736211
72,NE13,Kovan MRT Station Singapore,North East Line,1.3600233,103.8853569
73,NE14,Hougang MRT Station Singapore,North East Line,1.3713312,103.8925439
74,NE15,Buangkok MRT Station Singapore,North East Line,1.3831446,103.8931018
75,NE16,Sengkang MRT Station Singapore,North East Line,1.3915277,103.8954161
76,NE17,Punggol MRT Station Singapore,North East Line,1.40517,103.9023559
77,CC1,Dhoby Ghaut MRT Station Singapore,Circle Line,1.2994693,103.8454005
78,CC2,Bras Basah MRT Station Singapore,Circle Line,1.2969461,103.8507366
79,CC3,Esplanade MRT Station Singapore,Circle Line,1.2939413,103.8553744
80,CC4,Promenade MRT Station Singapore,Circle Line,1.2939413,103.8553744
81,CC5,Nicoll Highway MRT Station Singapore,Circle Line,1.3002399,103.8635784
82,CC6,Stadium MRT Station Singapore,Circle Line,1.3027829,103.8754063
