,full_address,latitude,longitude,Special_Needs_Fac_Availability
0,Anderson Primary School 19 Ang Mo Kio Avenue 9 Singapore 569785,1.384692,103.841225,No
1,Ang Mo Kio Primary School 20 Ang Mo Kio Avenue 3 Singapore 569920,1.3693469,103.839815,No
2,CHIJ St. Nicholas Girls School 501 Ang Mo Kio Street 13 Singapore 569405,1.3743731,103.8342158,Yes
3,Jing Shan Primary School 5 Ang Mo Kio Street 52 Singapore 569228,1.3723262,103.8517128,No
4,Mayflower Primary School 00 Ang Mo Kio Avenue 5 Singapore 569878,1.376395,103.843181,No
5,Teck Ghee Primary School 1 Ang Mo Kio Street 32 Singapore 569299,1.365396,103.8505239,Yes
6,Townsville Primary School No. 3 Ang Mo Kio Avenue 10 Singapore 569730,1.3600534,103.8537829,No
7,"Bedok Green Primary School No. 1, Bedok South Ave 2 Singapore 469317",1.323989,103.937761,No
8,"CHIJ (Katong) Primary School 17 Martia Road, Singapore 424821",1.3064102,103.9109552,No
9,"Damai Primary School 52 Bedok Reservoir Crescent, Singapore 479226",1.3358357,103.9202895,Yes
10,"Fengshan Primary School 307, Bedok North Road Singapore 469680",1.330225,103.931813,Yes
11,Opera Estate Primary School 48 Fidelio Street Singapore 458436,1.3193914,103.9235753,No
12,Red Swastika School 350 Bedok North Avenue 3 Singapore 469719,1.3332677,103.9346109,No
13,"St Anthony’s Canossian Primary School 1602 Bedok North Avenue 4, Singapore 469701",1.334293,103.941092,Yes
14,"St Stephen’s School 20 Siglap View, Singapore 455789",1.3190059,103.917604,No
15,"Telok Kurau Primary School, 50 Bedok Reservoir Rd Singapore 479239",1.3308237,103.911406,No
16,Temasek Primary School 501 Bedok South Avenue 3 Singapore 469300,1.317502,103.945488,Yes
17,Yu Neng Primary School 56 Bedok North Street 3 Singapore 469623,1.3338292,103.9318969,Yes
18,Ai Tong School - 100 Bright Hill Drive Singapore 579646,1.3607589,103.832633,No
19,"Catholic High School 9 Bishan Street 22, Singapore 579767",1.3546049,103.8451234,No
20,"Guangyang Primary School 6 Bishan Street 12, Singapore 579806",1.345887,103.849315,Yes
21,Kuo Chuan Presbyterian Primary School 8 Bishan Street 13 Singapore 579793,1.3494052,103.8552635,No
22,Bukit View Primary School  18 Bukit Batok St 21 Singapore 659634,1.3459081,103.7534607,No
23,"Dazhong Primary School 35, Bukit Batok Street 31 Singapore 659441",1.3593772,103.7480154,Yes
24,Keming Primary School 90 BUKIT BATOK EAST AVENUE 6 Singapore 659762,1.3454147,103.7562455,No
25,Lianhua Primary School 2 Bukit Batok Street 52 Singapore 659243,1.3536064,103.7544322,No
26,Princess Elizabeth Primary School 30 Bukit Batok West Avenue 3 Singapore 659163,1.349245,103.7409454,No
27,"St Anthony’s Primary School 30 Bukit Batok St. 32, Singapore 659401",1.3644881,103.7491618,No
28,Alexandra Primary School 2A Prince Charles Crescent Singapore 159016,1.2912857,103.8235733,Yes
29,"Blangah Rise Primary School 91 Telok Blangah Heights, Singapore 109100",1.2761957,103.8086755,No
30,Cantonment Primary School 1 Cantonment Close Singapore 088256,1.2759498,103.8400024,Yes
31,CHIJ (Kellock) 121 Queensway 149059,1.3017009,103.800518,No
32,"Gan Eng Seng Primary School 100 Redhill Cl, Singapore 158901",1.2857625,103.8152625,No
33,Radin Mas Primary School 1 Bukit Purmei Avenue Singapore 099840,1.2750693,103.8238799,No
34,"Zhangde Primary School 51 Jln Membina, Singapore 169485",1.284578,103.826193,No
35,"Beacon Primary School 36, Bukit Panjang Ring Road Singapore 679944",1.384235,103.77377,No
36,Bukit Panjang Primary School 109 Cashew Road Singapore 679676,1.3735964,103.7695266,No
37,CHIJ (Our Lady Queen of Peace) 4 Chestnut Drive Singapore 679287,1.3666563,103.7675404,No
38,Greenridge Primary School 11 Jelapang Road Singapore 677744,1.3856591,103.7679301,No
39,West Spring Primary School 60 Bukit Panjang Ring Road Singapore 679946,1.3893631,103.7662554,Yes
40,West View Primary School 31 Senja Road Singapore 677742,1.3836602,103.7600278,No
41,Zhenghua Primary School 9 Fajar Road Singapore 679002,1.3799372,103.7691787,No
42,Bukit Timah Primary School 111 Lorong Kismis Singapore 598112,1.337385,103.766768,Yes
43,Henry Park Primary School 1 Holland Grove Road Singapore 278790,1.3167825,103.7841363,No
44,"Methodist Girls’ School (Primary) 11 Blackmore Drive, Singapore 599986",1.332891,103.7834119,Yes
45,Nanyang Primary School 52 Kings Road Singapore 268097,1.3210855,103.8077117,No
46,Pei Hwa Presbyterian Primary School 7 Pei Wah Avenue Singapore 597610,1.338081,103.77613,No
